 tweet_time,CITY,State,country,count
Thu Oct 16 23:06:11 +0000 2014,Carol Stream,IL,USA,1
Thu Oct 16 21:11:22 +0000 2014,El Paso,TX,USA,1
Thu Oct 16 22:49:52 +0000 2014,Fresno,CA,USA,1
Thu Oct 16 21:07:49 +0000 2014,,KY,USA,1
Thu Oct 16 21:19:48 +0000 2014,La Mesa,CA,USA,1
Thu Oct 16 21:25:03 +0000 2014,,MI,USA,1
Thu Oct 16 21:12:05 +0000 2014,,NJ,USA,1
Thu Oct 16 21:09:25 +0000 2014,,NC,USA,1
Thu Oct 16 21:12:00 +0000 2014,Phoenix,AZ,USA,1
Thu Oct 16 23:16:27 +0000 2014,Richmond,VA,USA,1
Thu Oct 16 21:14:54 +0000 2014,"Sacramento,",CA,USA,1
Thu Oct 16 21:06:17 +0000 2014,Saltillo,MS,USA,1
Thu Oct 16 21:06:20 +0000 2014,Vernon,CT,USA,1
Thu Oct 16 23:16:10 +0000 2014,London,,UK,3
Thu Oct 16 21:10:16 +0000 2014,West Midlands,,UK,1
Thu Oct 16 21:06:25 +0000 2014,Amsterdam,,The Netherlands,1
Thu Oct 16 21:06:47 +0000 2014,,,The netherlands,1
Thu Oct 16 21:06:03 +0000 2014,Cape Town,,South Africa,1
Thu Oct 16 21:19:17 +0000 2014,Ljubljana,,Slovenia,1
Thu Oct 16 21:11:41 +0000 2014,Berlin,,Germany,1
Thu Oct 16 21:09:44 +0000 2014,Quito,,Ecuador,1
Thu Oct 16 21:21:10 +0000 2014,Copenhagen,,Denmark,1
Thu Oct 16 21:11:20 +0000 2014,,,Canada,1
Thu Oct 16 21:05:25 +0000 2014,Toronto,,Canada,1
Thu Oct 16 21:26:11 +0000 2014,,,Brazil,1
Thu Oct 16 21:09:30 +0000 2014,Rio de Janeiro,,Brazil,1
Thu Oct 16 21:05:55 +0000 2014,Sydney,, Australia,2
